,J1,J2,J3
Y1,-15.4183948860838,6.218708948209737,1.4666321619550096
Y2,-13.724598393752157,3.171179376990537,1.969013277171408
Y3,-13.875108078655213,8.69262243061151,1.7519670808022334
Y4,-12.320907545340685,2.595120283317216,1.4216160926076271
Y5,-12.65513727433141,5.071674176284602,1.4187884797417576
Y6,-18.101484891685516,1.8819674642625128,1.3322767612066984
Y7,-14.184063181878098,9.691389059132527,1.900076383709032
Y8,-16.835341391715886,8.717420188350347,1.6997157267717804
Y9,-13.343052811296062,3.905775778692414,1.9276156472866188
Y10,-18.532672554738934,0.41899232142502796,1.6155795243357796
Y11,-10.275755752375112,4.27614590742054,1.5972346675595186
Y12,-18.697644905956757,6.560411237206485,1.5890215493700386
Y13,-12.056349000342891,3.413597516707634,1.736527325957493
Y14,-16.3976805048103,1.6115717216093395,1.4774624193989276
Y15,-14.38933288878415,5.876133719066438,1.892677722931712
Y16,-11.268767707745845,4.274824023019576,1.6653560870142665
Y17,-12.577685029638193,3.6317439723473566,1.3194150930020516
Y18,-15.676694485476403,4.017518565891777,1.4600373759130068
Y19,-13.40773404579505,8.315475327738916,1.5775215945113388
Y20,-12.21631576037908,6.1742012421750925,1.4717142924437123
